Hydraulic Retention Time (Days),Temperature (°C),pH,Biogas Yield (m³/Kg),CH4 (%)
1,28,6.7,0.02,3.42
21,32,7.05,0.41,49.48
16,33,7.02,0.35,39.6
4,29,6.76,0.07,6.2
29,31,6.99,0.47,61.71
11,30,6.91,0.24,13.35
22,35,7.07,0.43,53.26
23,33,7.03,0.42,56.21
2,30,6.73,0.02,5.71
1,27,6.73,0.0,0.0
12,31,6.93,0.26,18.87
15,33,7.02,0.32,36.52
10,29,6.89,0.2,8.24
27,34,7.07,0.44,61.75
19,32,6.98,0.38,46.22
28,32,7.03,0.46,61.67
4,31,6.77,0.06,5.85
25,36,7.12,0.43,60.26
20,32,6.97,0.4,47.3
29,32,7.0,0.46,61.29
1,29,6.69,0.01,3.05
3,30,6.76,0.04,6.03
12,30,6.98,0.26,18.42
25,35,7.12,0.46,59.59
20,34,6.98,0.4,47.7
1,29,6.75,0.0,0.0
26,34,7.08,0.43,60.61
10,31,6.92,0.19,8.25
23,33,7.08,0.44,54.49
5,31,6.78,0.06,4.65
23,33,7.07,0.41,55.04
2,29,6.72,0.01,5.68
19,33,6.97,0.4,47.41
22,33,7.05,0.43,51.79
16,32,7.01,0.34,39.84
10,29,6.87,0.19,8.05
16,34,6.99,0.34,39.8
25,36,7.14,0.43,58.53
7,30,6.85,0.14,3.8
12,31,6.94,0.24,19.49
25,34,7.13,0.45,59.23
0,25,6.69,0.0,0.0
8,31,6.84,0.16,4.17
21,32,7.0,0.41,51.02
27,34,7.1,0.44,61.55
14,32,6.97,0.3,30.95
30,28,6.9,0.44,59.96
23,33,7.08,0.44,54.42
13,31,6.96,0.27,24.54
15,33,7.01,0.32,35.86
12,30,6.94,0.24,19.33
16,34,7.02,0.35,40.33
19,33,7.0,0.41,46.27
5,29,6.78,0.07,5.84
12,30,6.99,0.26,18.48
29,33,6.99,0.43,61.92
20,34,6.99,0.4,47.91
2,28,6.76,0.01,4.86
8,29,6.87,0.15,4.75
14,33,7.02,0.3,31.93
17,33,6.97,0.37,43.47
2,28,6.72,0.03,4.88
29,31,7.01,0.44,62.1
7,31,6.83,0.14,4.73
22,34,7.03,0.4,52.44
26,36,7.07,0.45,60.59
23,33,7.05,0.43,55.15
8,31,6.82,0.15,3.53
2,29,6.74,0.02,6.31
20,33,7.02,0.39,47.96
28,33,7.04,0.47,62.2
22,35,7.04,0.42,52.47
24,35,7.1,0.42,56.15
22,33,7.02,0.41,53.09
14,32,7.01,0.28,31.25
14,34,7.0,0.3,31.1
17,33,7.02,0.35,43.02
1,27,6.73,0.02,2.76
23,34,7.07,0.44,54.04
2,29,6.73,0.01,5.03
9,30,6.89,0.17,5.9
14,33,6.96,0.3,31.66
20,32,7.0,0.39,48.06
18,34,6.99,0.37,44.57
18,34,7.03,0.37,45.0
27,35,7.03,0.44,61.82
23,34,7.02,0.43,55.76
17,34,7.03,0.35,42.42
0,26,6.72,0.0,0.0
3,31,6.76,0.05,6.59
20,34,7.03,0.4,48.49
27,34,7.07,0.43,61.55
24,35,7.09,0.41,57.66
20,33,6.99,0.4,47.99
3,29,6.78,0.05,5.61
21,33,7.04,0.42,50.33
20,32,6.98,0.39,48.07
28,34,7.05,0.43,61.86
3,30,6.76,0.03,5.46
17,33,6.99,0.36,42.81
6,29,6.83,0.1,4.45
23,33,7.06,0.44,54.82
10,31,6.9,0.2,9.36
25,35,7.07,0.45,59.18
18,33,6.97,0.37,44.44
13,31,6.96,0.26,24.98
30,30,6.87,0.46,60.32
8,31,6.86,0.16,4.25
22,34,7.06,0.43,52.83
13,31,6.97,0.28,25.28
11,31,6.91,0.25,13.19
27,33,7.1,0.46,62.0
12,32,6.97,0.25,18.48
30,28,6.93,0.44,60.95
0,27,6.72,0.0,0.0
28,32,7.06,0.45,62.55
23,33,7.09,0.42,55.18
8,31,6.85,0.15,4.7
1,28,6.72,0.03,3.11
13,32,6.98,0.27,25.49
19,33,7.04,0.38,46.91
20,32,7.01,0.39,48.09
30,30,6.89,0.45,60.48
30,28,6.91,0.44,60.36
24,36,7.09,0.42,56.52
12,30,6.96,0.25,16.92
17,33,6.99,0.36,42.43
5,30,6.81,0.07,4.95
23,33,7.04,0.42,55.57
27,33,7.07,0.46,61.49
13,31,6.99,0.29,25.7
8,29,6.9,0.15,3.83
23,33,7.06,0.43,56.58
26,36,7.12,0.45,60.48
10,30,6.91,0.21,9.47
25,34,7.14,0.46,59.08
30,28,6.93,0.43,60.18
13,33,6.98,0.28,25.73
3,29,6.8,0.07,7.45
13,31,6.95,0.29,25.21
23,35,7.07,0.43,54.62
7,29,6.84,0.11,3.68
11,31,6.88,0.23,13.22
18,33,7.0,0.39,44.34
14,33,7.0,0.29,31.88
22,34,7.04,0.43,51.9
20,32,7.0,0.41,47.7
1,29,6.76,0.01,3.13
29,33,6.98,0.45,61.2
4,30,6.79,0.06,6.5
3,31,6.81,0.05,5.25
29,32,6.97,0.45,62.51
25,36,7.12,0.44,57.29
9,31,6.85,0.16,6.01
1,29,6.74,0.0,0.0
14,32,7.03,0.31,30.7
9,31,6.83,0.17,5.25
17,33,7.0,0.37,43.05
28,32,7.02,0.46,62.42
24,36,7.11,0.41,57.5
8,31,6.84,0.14,3.86
2,30,6.76,0.01,5.99
11,30,6.96,0.23,12.33
21,34,7.0,0.39,50.96
24,34,7.1,0.43,56.9
30,28,6.9,0.46,60.31
30,29,6.91,0.45,60.76
13,33,6.99,0.29,24.92
11,31,6.87,0.24,13.26
22,34,7.03,0.43,51.65
3,30,6.79,0.05,5.66
26,34,7.12,0.44,60.37
4,31,6.76,0.05,4.96
29,33,6.99,0.44,60.86
13,32,6.96,0.29,24.56
4,31,6.8,0.06,5.34
15,32,7.02,0.32,36.6
11,29,6.92,0.22,12.79
6,31,6.84,0.11,3.49
13,33,6.98,0.29,25.48
4,29,6.75,0.06,5.59
26,36,7.09,0.45,61.14
30,28,6.93,0.45,60.57
25,35,7.13,0.43,58.06
23,33,7.05,0.42,55.15
20,33,7.0,0.4,47.73
23,33,7.08,0.43,54.36
5,29,6.79,0.07,5.39
27,35,7.14,0.45,61.4
30,30,6.88,0.46,60.7
9,31,6.91,0.16,4.96
1,28,6.71,0.01,3.52
19,33,6.99,0.39,47.05
21,33,7.0,0.4,49.3
20,34,7.0,0.39,48.87
7,31,6.84,0.13,4.25
28,32,7.06,0.46,62.69
8,30,6.87,0.14,3.55
11,29,6.93,0.23,13.05
11,31,6.9,0.24,12.52
13,33,6.97,0.29,25.94
18,32,7.02,0.39,45.89
27,35,7.09,0.44,62.35
17,33,7.0,0.35,43.5
19,34,6.99,0.4,46.27
26,36,7.09,0.43,59.96
0,27,6.7,0.02,0.0
22,33,7.03,0.42,53.17
29,31,7.0,0.44,61.59
26,34,7.09,0.46,61.4
7,29,6.85,0.13,3.55
17,32,6.98,0.38,42.41
4,29,6.81,0.05,6.15
22,35,7.04,0.42,52.19
5,29,6.82,0.09,4.84
14,33,6.97,0.29,31.15
25,36,7.12,0.45,59.1
28,34,7.07,0.43,62.35
20,34,7.0,0.39,48.61
12,30,6.93,0.26,20.33
21,34,7.02,0.42,50.98
11,31,6.9,0.23,12.99
13,31,6.96,0.28,25.73
11,31,6.94,0.23,14.07
25,36,7.09,0.43,59.05
12,32,6.96,0.23,19.48
26,34,7.12,0.43,61.24
26,34,7.1,0.43,60.92
30,30,6.93,0.46,60.3
10,30,6.85,0.19,7.39
25,36,7.06,0.43,59.24
21,34,6.99,0.39,50.15
16,34,6.97,0.34,40.61
30,28,6.91,0.43,59.75
4,30,6.81,0.05,5.63
28,32,7.04,0.45,61.82
17,32,7.0,0.35,42.72
3,31,6.8,0.05,5.48
19,34,6.99,0.39,47.63
24,36,7.06,0.42,57.28
10,31,6.93,0.2,8.75
12,32,6.95,0.26,18.65
3,29,6.8,0.03,6.26
20,32,6.99,0.4,48.37
5,31,6.83,0.07,5.76
29,32,7.0,0.44,62.12
7,31,6.85,0.11,3.45
21,32,6.99,0.41,50.34
8,31,6.82,0.13,3.45
16,34,7.01,0.34,40.72
20,33,7.01,0.4,49.27
21,33,7.0,0.39,49.28
20,33,7.0,0.4,47.66
7,31,6.85,0.13,3.56
20,34,6.98,0.4,48.29
5,31,6.79,0.07,4.96
29,31,7.0,0.46,62.65
1,29,6.68,0.0,0.0
20,34,6.98,0.4,47.85
2,30,6.72,0.02,6.05
14,32,7.01,0.3,31.22
2,29,6.75,0.02,6.12
15,32,7.03,0.33,36.85
6,30,6.83,0.1,4.11
24,36,7.11,0.43,56.69
26,35,7.11,0.43,59.9
28,34,7.08,0.44,62.91
15,32,6.99,0.32,36.54
24,34,7.11,0.42,56.66
11,30,6.92,0.24,13.39
16,33,7.01,0.32,40.48
9,30,6.88,0.18,5.96
6,30,6.79,0.1,4.17
18,34,6.98,0.36,45.25
19,34,7.0,0.39,47.15
26,35,7.11,0.45,61.11
3,30,6.76,0.04,6.18
23,35,7.07,0.44,55.45
25,36,7.08,0.45,58.98
13,31,6.96,0.27,25.1
9,29,6.89,0.17,4.89
29,32,7.01,0.45,61.9
27,34,7.1,0.44,61.22
20,34,6.99,0.39,48.84
1,28,6.72,0.02,2.96
13,32,6.96,0.28,25.56
18,33,7.0,0.37,45.11
6,31,6.85,0.11,4.42
4,29,6.79,0.06,5.68
30,29,6.91,0.45,61.26
3,29,6.77,0.04,5.22
14,32,7.01,0.31,30.25
22,33,7.05,0.42,52.2
25,35,7.1,0.44,59.23
8,31,6.87,0.15,3.3
13,31,6.96,0.29,24.18
20,32,6.98,0.41,47.44
0,25,6.7,0.0,0.0
30,28,6.88,0.45,61.45
4,31,6.81,0.05,4.94
23,33,7.07,0.43,55.1
21,33,7.03,0.42,51.22
6,31,6.86,0.08,5.92
3,31,6.76,0.04,5.01
19,32,6.96,0.39,45.84
12,30,6.94,0.25,19.18
11,31,6.94,0.23,12.99
16,32,7.03,0.33,39.99
10,30,6.88,0.18,8.34
8,29,6.87,0.16,4.03
27,33,7.09,0.44,62.1
12,31,6.92,0.23,18.49
17,33,7.01,0.35,43.34
3,29,6.76,0.04,5.88
5,29,6.81,0.07,4.29
18,34,7.01,0.37,44.41
18,33,7.02,0.36,44.99
30,28,6.91,0.45,61.09
15,33,7.02,0.31,36.77
7,30,6.83,0.15,3.47
24,36,7.1,0.42,56.96
23,33,7.07,0.43,54.93
16,33,6.99,0.33,41.0
21,33,7.03,0.4,49.39
0,26,6.66,0.0,0.0
1,29,6.76,0.0,0.0
19,32,7.0,0.4,46.25
3,29,6.74,0.04,5.29
10,31,6.93,0.2,9.36
12,30,6.94,0.26,19.14
9,29,6.87,0.16,5.91
25,36,7.07,0.43,58.2
2,30,6.75,0.02,4.82
12,30,6.95,0.25,18.89
16,33,7.0,0.34,40.36
16,32,7.02,0.34,40.8
16,32,6.99,0.34,41.26
13,33,6.98,0.28,24.91
16,32,6.99,0.33,40.68
17,33,7.02,0.35,43.14
9,31,6.85,0.18,5.71
0,27,6.69,0.0,0.0
25,35,7.09,0.43,59.05
9,30,6.87,0.18,5.05
4,30,6.81,0.06,5.32
18,33,6.99,0.38,44.76
26,34,7.1,0.44,61.04
22,35,7.01,0.43,52.32
13,32,7.0,0.28,24.53
14,33,6.98,0.3,30.85
7,31,6.81,0.14,4.47
12,31,6.95,0.23,18.73
3,30,6.76,0.05,5.95
15,32,7.0,0.31,36.09
8,29,6.86,0.16,3.61
9,31,6.87,0.17,5.96
30,28,6.9,0.45,60.62
7,29,6.87,0.14,3.54
26,34,7.08,0.43,60.87
28,33,7.07,0.43,62.16
11,31,6.92,0.22,13.9
21,33,7.03,0.4,49.78
12,30,6.95,0.26,18.4
20,32,6.98,0.39,48.29
21,33,7.04,0.42,50.47
29,33,7.02,0.46,62.62
23,35,7.06,0.43,55.2
6,30,6.78,0.09,3.96
8,29,6.83,0.14,4.4
22,33,7.07,0.43,52.07
15,32,7.0,0.3,36.37
24,36,7.07,0.44,57.37
18,33,7.03,0.36,45.45
21,34,6.97,0.43,50.62
20,33,7.01,0.41,48.57
21,32,7.01,0.4,50.12
14,34,7.0,0.31,31.59
16,33,7.02,0.36,41.1
21,34,7.0,0.43,50.04
11,29,6.91,0.25,13.62
3,29,6.77,0.03,6.16
1,29,6.71,0.02,4.2
19,33,7.0,0.37,46.44
7,29,6.86,0.12,4.15
26,36,7.05,0.45,60.31
7,30,6.85,0.13,3.62
21,33,7.01,0.41,50.32
3,30,6.74,0.03,5.85
5,30,6.81,0.08,4.51
22,34,7.05,0.41,52.85
27,33,7.09,0.46,61.93
4,30,6.79,0.05,5.09
1,28,6.71,0.02,3.29
0,27,6.7,0.0,0.0
0,27,6.71,0.0,0.0
14,33,7.02,0.3,30.95
24,35,7.09,0.43,57.3
23,35,7.07,0.42,54.66
22,33,7.07,0.41,51.79
17,34,6.98,0.36,43.68
13,32,6.99,0.27,25.85
20,33,6.98,0.4,47.44
11,30,6.89,0.22,12.68
0,26,6.69,0.0,0.0
10,30,6.87,0.19,8.61
8,29,6.85,0.16,4.23
30,28,6.91,0.44,60.55
26,35,7.11,0.44,61.79
6,30,6.85,0.1,4.5
22,35,7.07,0.44,52.95
17,34,7.0,0.37,43.55
7,31,6.8,0.14,3.7
14,33,7.01,0.29,31.3
25,35,7.11,0.43,59.92
16,33,6.98,0.35,41.05
15,33,7.04,0.31,36.09
12,32,6.96,0.26,18.64
3,31,6.74,0.04,5.35
17,32,6.98,0.35,43.32
5,29,6.8,0.08,4.84
29,33,6.98,0.45,62.23
3,31,6.77,0.05,5.25
26,35,7.1,0.42,61.37
23,34,7.08,0.44,53.59
11,31,6.92,0.23,13.64
5,30,6.77,0.1,5.09
18,33,6.98,0.39,43.8
28,32,7.02,0.44,62.67
3,29,6.78,0.03,4.9
27,34,7.08,0.46,61.69
29,33,7.0,0.46,62.87
1,27,6.69,0.0,0.0
9,29,6.86,0.18,6.44
29,32,7.0,0.45,61.46
12,32,6.97,0.25,18.44
22,34,7.02,0.42,52.36
17,32,7.02,0.34,42.88
21,32,7.04,0.41,50.71
22,34,7.01,0.41,52.56
11,29,6.92,0.23,13.02
17,32,7.03,0.37,43.5
17,32,7.0,0.37,42.99
4,31,6.74,0.07,5.38
30,30,6.9,0.44,61.0
19,32,7.01,0.39,46.91
23,34,7.07,0.42,55.36
30,28,6.89,0.47,61.13
15,34,7.0,0.33,35.36
19,33,7.0,0.38,46.03
8,31,6.85,0.14,3.46
24,35,7.1,0.43,57.8
7,29,6.86,0.13,3.62
23,35,7.09,0.44,55.03
8,31,6.87,0.15,4.12
17,34,6.96,0.37,43.06
27,35,7.1,0.45,62.91
19,33,6.98,0.39,45.68
0,26,6.69,0.02,0.0
5,30,6.79,0.08,4.59
3,29,6.75,0.04,4.84
26,35,7.06,0.43,60.62
12,32,6.93,0.26,19.46
23,33,7.04,0.43,54.16
16,33,6.98,0.35,40.24
19,32,7.01,0.4,46.46
16,33,6.96,0.33,40.66
23,33,7.08,0.44,55.45
9,31,6.9,0.18,5.5
19,34,6.98,0.4,47.73
10,31,6.87,0.19,8.15
3,29,6.77,0.04,6.27
15,32,7.04,0.32,35.4
3,29,6.77,0.04,5.54
19,33,6.95,0.39,45.82
26,34,7.1,0.45,60.08
13,31,6.97,0.28,24.72
6,30,6.8,0.11,4.74
9,31,6.88,0.18,5.55
30,30,6.9,0.46,59.5
20,34,7.02,0.41,48.72
18,33,7.02,0.37,45.37
21,34,7.01,0.41,50.26
2,28,6.71,0.01,5.71
15,34,7.02,0.33,36.98
3,31,6.78,0.02,5.87
17,34,6.98,0.35,42.86
23,35,7.04,0.42,54.32
14,33,7.0,0.31,31.82
13,31,6.96,0.28,25.16
6,31,6.8,0.09,3.36
29,31,6.99,0.45,61.2
25,34,7.08,0.45,59.17
0,25,6.7,0.0,0.0
30,28,6.89,0.44,60.24
2,29,6.73,0.01,4.71
7,30,6.83,0.13,4.12
13,33,6.98,0.28,24.17
1,29,6.73,0.02,3.54
5,31,6.82,0.07,5.16
14,34,6.95,0.3,31.81
26,34,7.09,0.44,60.52
26,34,7.13,0.46,60.39
4,29,6.78,0.06,6.0
18,32,7.0,0.36,44.76
12,31,6.97,0.25,19.11
30,30,6.93,0.45,60.29
30,30,6.94,0.44,60.84
28,33,7.02,0.44,62.13
30,28,6.9,0.45,60.45
28,34,7.07,0.46,62.73
12,31,6.96,0.25,18.74
26,34,7.08,0.43,60.98
11,30,6.91,0.23,12.85
29,31,6.99,0.44,61.86
17,34,7.01,0.35,42.8
9,29,6.87,0.17,5.98
11,30,6.91,0.25,13.96
14,34,7.01,0.31,31.31
2,28,6.75,0.01,5.37
3,29,6.76,0.04,5.71
25,35,7.11,0.45,59.44
24,35,7.13,0.41,57.08
4,30,6.78,0.06,7.16
15,32,7.01,0.33,36.45
8,30,6.85,0.16,3.89
14,33,7.01,0.31,30.88
21,32,7.03,0.39,49.44
29,33,7.0,0.45,62.37
4,30,6.76,0.08,6.08
11,31,6.95,0.22,12.8
5,31,6.81,0.07,4.73
25,35,7.08,0.42,58.87
1,28,6.71,0.04,3.27
30,29,6.89,0.45,60.59
6,30,6.8,0.1,4.38
5,29,6.82,0.08,4.7
30,29,6.91,0.45,60.55
9,31,6.89,0.18,5.57
29,31,7.01,0.45,60.48
26,35,7.1,0.43,60.96
3,29,6.77,0.04,5.74
16,32,6.98,0.33,39.92
26,34,7.11,0.45,60.81
28,32,7.03,0.45,62.7
2,30,6.74,0.02,5.33
13,33,6.96,0.27,25.01
8,31,6.83,0.13,5.04
23,35,7.1,0.42,55.05
5,29,6.79,0.08,6.12
18,33,6.99,0.37,44.89
19,34,7.03,0.41,46.85
22,33,7.06,0.42,52.87
3,30,6.79,0.03,6.37
13,33,6.95,0.29,25.24
8,30,6.88,0.15,3.44
30,29,6.92,0.45,60.54
12,31,6.97,0.24,19.3
14,33,7.04,0.29,31.25
18,32,7.03,0.37,44.81
10,30,6.89,0.18,7.59
30,29,6.91,0.45,60.4
12,32,6.98,0.24,18.16
10,30,6.89,0.21,9.07
28,34,7.03,0.46,62.75
9,29,6.86,0.18,4.88
24,35,7.11,0.43,56.6
20,34,7.0,0.41,47.99
11,30,6.94,0.24,12.3
28,32,7.05,0.44,62.11
30,30,6.92,0.44,60.44
5,30,6.77,0.06,4.74
3,29,6.79,0.04,5.61
26,36,7.08,0.44,60.48
7,30,6.84,0.13,3.89
9,29,6.92,0.19,5.29
28,32,7.05,0.46,62.35
21,32,7.04,0.43,50.03
7,31,6.85,0.13,3.8
16,33,7.02,0.35,40.78
24,36,7.1,0.43,57.26
21,32,7.0,0.42,50.58
9,29,6.91,0.17,6.01
16,33,6.97,0.34,40.34
1,27,6.73,0.01,3.65
16,32,7.01,0.33,40.0
23,34,7.07,0.43,54.12
8,30,6.83,0.13,4.62
9,29,6.87,0.16,6.54
0,27,6.72,0.01,0.0
1,27,6.71,0.02,2.55
10,29,6.9,0.19,8.56
11,29,6.95,0.24,12.96
30,30,6.92,0.46,60.75
1,28,6.74,0.01,3.25
9,29,6.89,0.16,4.85
2,29,6.72,0.02,6.41
0,26,6.72,0.0,0.0
2,29,6.77,0.01,5.19
29,31,7.01,0.47,62.17
16,33,7.01,0.34,40.57
6,31,6.82,0.09,4.14
29,32,7.02,0.46,61.8
28,34,7.03,0.45,62.15
2,29,6.75,0.03,5.22
14,34,7.0,0.3,31.14
26,34,7.07,0.43,61.18
24,36,7.11,0.42,56.76
18,34,7.01,0.36,44.68
8,31,6.86,0.14,3.92
4,29,6.77,0.06,5.62
22,34,7.08,0.44,52.15
26,35,7.1,0.45,61.11
23,34,7.06,0.41,54.38
3,30,6.75,0.04,5.8
15,33,7.01,0.32,36.43
2,30,6.75,0.02,5.24
28,34,7.04,0.45,62.73
9,29,6.89,0.17,6.15
16,34,6.98,0.35,39.67
3,30,6.75,0.05,6.12
9,29,6.85,0.17,5.76
17,33,6.99,0.37,44.02
27,35,7.07,0.44,61.68
13,31,6.98,0.27,25.23
29,31,6.98,0.45,62.44
22,34,7.04,0.41,52.28
13,32,7.01,0.27,25.09
18,32,7.02,0.38,44.98
3,29,6.76,0.02,5.31
30,28,6.87,0.46,60.05
17,33,7.0,0.35,43.18
12,31,6.92,0.24,18.62
9,30,6.88,0.19,5.34
21,34,7.01,0.42,49.97
3,30,6.73,0.03,4.89
14,32,6.98,0.3,31.42
14,34,6.97,0.31,30.41
30,30,6.9,0.46,60.35
15,33,7.0,0.33,35.94
20,33,7.0,0.41,48.88
6,31,6.83,0.1,3.99
21,33,6.99,0.41,49.93
20,34,6.98,0.38,48.46
7,29,6.82,0.14,3.94
28,34,7.06,0.44,60.84
16,33,6.99,0.35,40.59
27,35,7.1,0.42,62.52
28,32,7.06,0.45,60.74
14,33,7.02,0.3,31.05
19,34,6.95,0.4,46.41
0,27,6.7,0.0,0.0
30,29,6.9,0.45,61.55
